,pq_#,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
6177,FPQ-14942,SCMS-259074,ASN-31069,South Africa,Direct Drop,DDP,Adult,120,41,1049.33,25.59,0.21,No,Freight Included in Commodity Cost,Truck,1.08,179
6178,FPQ-14813,SCMS-268600,ASN-31454,Rwanda,Direct Drop,FCA,Pediatric,60,132,4468.2,33.85,0.56,Yes,663.77,Air,4.59,200
6179,FPQ-14942,SCMS-259071,ASN-29596,South Africa,Direct Drop,DDP,Adult,120,36,1696.63,47.13,0.39,No,Freight Included in Commodity Cost,Truck,1.74,78
6180,FPQ-8795,SCMS-131100,ASN-13763,Namibia,Direct Drop,EXW,HIV test,20,728,23296.0,32.0,1.6,Yes,2789.67,Air,32.66,71
6181,FPQ-7175,SCMS-104100,ASN-12991,South Africa,Direct Drop,DDP,Adult,60,5360,14579.2,2.72,0.05,Yes,5824.11,Ocean,24.06,308
6182,FPQ-5317,SCMS-69430,ASN-7236,Vietnam,Direct Drop,EXW,Adult,60,49920,284044.8,5.69,0.09,Yes,10959.54,Air,612.4,106
6183,FPQ-10036,SCMS-150570,ASN-16202,Zimbabwe,Direct Drop,EXW,HIV test,1,11626,29065.0,2.5,2.5,Yes,8434.27,Air,40.75,117
6184,FPQ-11923,SCMS-187080,ASN-23311,Mozambique,Direct Drop,CIP,Adult,60,54,2997.0,55.5,0.92,Yes,Freight Included in Commodity Cost,Air,3.71,264
6185,FPQ-4098,SCMS-51760,ASN-5445,Vietnam,Direct Drop,EXW,Adult,60,3024,4384.8,1.45,0.02,Yes,1615.88,Air,8.59,107
6186,FPQ-12812,SCMS-210340,ASN-23200,Nigeria,Direct Drop,EXW,HIV test,20,3337,106784.0,32.0,1.6,Yes,5758.84,Air,132.09,153
6187,FPQ-12522,SCMS-199288,ASN-27198,South Africa,Direct Drop,DDP,Pediatric,300,4,93.81,23.45,0.08,Yes,Freight Included in Commodity Cost,Truck,0.12,364
6188,FPQ-13548,SCMS-224840,ASN-24721,"Congo, DRC",Direct Drop,EXW,HIV test,20,5,160.0,32.0,1.6,No,See ASN-24721 (ID#:13708),Air,0.16,96
6189,FPQ-14052,SCMS-237810,ASN-28671,Ghana,Direct Drop,EXW,Adult,60,25097,205795.4,8.2,0.14,Yes,16189.27,Air,211.56,214
6190,FPQ-14654,SCMS-253260,ASN-28279,"Congo, DRC",Direct Drop,EXW,HIV test,20,214,6848.0,32.0,1.6,No,See ASN-28279 (ID#:13547),Air,7.04,101
6191,FPQ-8315,SCMS-120580,ASN-13542,Zambia,Direct Drop,EXW,HIV test,20,5000,160000.0,32.0,1.6,Yes,20626.58,Air,264.0,191
6192,FPQ-13973,SCMS-238553,ASN-28021,South Africa,Direct Drop,DDP,Adult,60,99,6830.08,68.99,1.15,No,Freight Included in Commodity Cost,Truck,7.02,120
6193,FPQ-12522,SCMS-199280,ASN-24433,South Africa,Direct Drop,DDP,Adult,60,76,1487.93,19.58,0.33,No,Freight Included in Commodity Cost,Truck,1.84,211
6194,FPQ-10287,SCMS-156140,ASN-17077,Vietnam,Direct Drop,EXW,Adult,30,14119,46592.7,3.3,0.11,No,See ASN-17077 (ID#:37031),Air,65.32,138
6195,FPQ-3967,SCMS-52600,ASN-5061,Côte d'Ivoire,Direct Drop,FCA,Adult,120,12560,454169.6,36.16,0.3,Yes,18459.58,Air,890.17,63
6196,FPQ-12837,SCMS-204370,ASN-22180,Cameroon,Direct Drop,EXW,Adult,30,39960,193406.4,4.84,0.16,Yes,28778.76,Air,239.24,87
6197,FPQ-15569,SCMS-272150,ASN-31765,South Sudan,Direct Drop,EXW,HIV test,20,25,800.0,32.0,1.6,No,See ASN-31765 (ID#:41640),Air,0.94,212
6198,FPQ-14151,SCMS-240080,ASN-26467,Zambia,Direct Drop,EXW,Adult,60,38939,87612.75,2.25,0.04,Yes,20233.34,Air,90.07,98
6199,FPQ-13973,SCMS-238556,ASN-31854,South Africa,Direct Drop,DDP,Pediatric,90,6,283.05,47.18,0.52,No,Freight Included in Commodity Cost,Truck,0.29,363
6200,FPQ-11772,SCMS-178950,ASN-18564,Rwanda,Direct Drop,EXW,HIV test,20,500,16000.0,32.0,1.6,Yes,3478.5,Air,19.79,18
6201,FPQ-13048,SCMS-210910,ASN-23397,Tanzania,Direct Drop,EXW,Pediatric,30,11912,18582.72,1.56,0.05,Yes,5740.54,Air,22.99,117
6202,FPQ-12539,SCMS-210820,ASN-23668,Vietnam,Direct Drop,EXW,Adult,30,11517,37315.08,3.24,0.11,Yes,3001.35,Air,46.16,194
6203,FPQ-13851,SCMS-239010,ASN-26755,Rwanda,Direct Drop,CIP,Adult,30,18000,360000.0,20.0,0.67,Yes,1832.54,Air,370.08,137
6204,FPQ-15038,SCMS-262840,ASN-31820,Haiti,Direct Drop,EXW,Adult,30,65025,665856.0,10.24,0.34,No,See ASN-31820 (ID#:16098),Ocean,684.5,264
6205,FPQ-5094,SCMS-68480,ASN-7488,Vietnam,Direct Drop,EXW,Adult,60,8738,20534.3,2.35,0.04,Yes,6683.69,Air,44.27,141
6206,FPQ-8671,SCMS-131030,ASN-13447,Haiti,Direct Drop,EXW,Malaria,25,4,45.0,11.25,0.45,Yes,702.42,Air,0.06,75
6207,FPQ-5520,SCMS-71580,ASN-6862,Sudan,Direct Drop,EXW,HIV test,20,750,24000.0,32.0,1.6,Yes,2849.79,Air,51.74,42
6208,FPQ-10394,SCMS-156500,ASN-16218,Tanzania,Direct Drop,EXW,Adult,30,60757,200498.1,3.3,0.11,Yes,20136.28,Air,281.1,75
6209,FPQ-12590,SCMS-210470,ASN-24371,Haiti,Direct Drop,EXW,Pediatric,30,2688,4193.28,1.56,0.05,Yes,2520.54,Ocean,5.19,264
6210,FPQ-9365,SCMS-143490,ASN-14880,Uganda,Direct Drop,DDP,Adult,120,252,16783.2,66.6,0.55,No,See ASN-14880 (ID#:25423),Air,23.53,64
6211,FPQ-13945,SCMS-235390,ASN-29855,Tanzania,Direct Drop,EXW,HIV test,20,168,5376.0,32.0,1.6,Yes,1112.11,Air,5.53,334
6212,FPQ-13809,SCMS-234010,ASN-27059,Ghana,Direct Drop,FCA,Pediatric,60,934,5547.96,5.94,0.1,Yes,2060.79,Air,5.7,161
6213,FPQ-9005,SCMS-132020,ASN-14227,Haiti,Direct Drop,DDU,HIV test,100,21,2625.0,125.0,1.25,Yes,Freight Included in Commodity Cost,Air,3.68,83
6214,FPQ-7193,SCMS-103110,ASN-11268,Nigeria,Direct Drop,EXW,HIV test,100,2891,257299.0,89.0,0.89,Yes,31201.82,Air,424.54,141
6215,FPQ-14517,SCMS-249920,ASN-29167,South Sudan,Direct Drop,EXW,Pediatric,60,635,1206.5,1.9,0.03,Yes,1944.99,Air,1.24,169
6216,FPQ-5899,SCMS-77260,ASN-8928,Vietnam,Direct Drop,EXW,Adult,60,336,2436.0,7.25,0.12,Yes,8495.83,Air,5.25,167
6217,FPQ-13809,SCMS-234050,ASN-26436,Ghana,Direct Drop,EXW,Adult,120,3393,73967.4,21.8,0.18,Yes,6006.37,Air,76.04,146
6218,FPQ-9263,SCMS-139100,ASN-14678,Côte d'Ivoire,Direct Drop,EXW,Adult,30,1800,45000.0,25.0,0.83,Yes,3109.21,Air,63.09,111
6219,FPQ-12522,SCMS-199280,ASN-24433,South Africa,Direct Drop,DDP,Pediatric,240,12,94.68,7.89,0.03,No,Freight Included in Commodity Cost,Truck,0.12,211
6220,FPQ-7909,SCMS-114980,ASN-12025,Tanzania,Direct Drop,EXW,HIV test,25,10000,200000.0,20.0,0.8,Yes,45032.55,Air,330.0,98
6221,FPQ-13939,SCMS-234720,ASN-26117,Zimbabwe,Direct Drop,EXW,Adult,30,33439,155491.35,4.65,0.16,Yes,25955.06,Air,159.85,76
6222,FPQ-6126,SCMS-83590,ASN-8621,Dominican Republic,Direct Drop,EXW,Adult,168,2,288.0,144.0,0.86,Yes,Invoiced Separately,Truck,0.62,64
6223,FPQ-12522,SCMS-199283,ASN-27976,South Africa,Direct Drop,DDP,Adult,60,19,528.69,27.83,0.46,No,Freight Included in Commodity Cost,Truck,0.65,412
6224,FPQ-12528,SCMS-196520,ASN-21946,Cameroon,Direct Drop,EXW,Adult,30,82471,865945.5,10.5,0.35,Yes,102199.13,Air,1071.17,145
6225,FPQ-15569,SCMS-272160,ASN-31335,South Sudan,Direct Drop,EXW,HIV test - Ancillary,100,15,120.0,8.0,0.08,No,See ASN-31335 (ID#:42778),Air,0.14,158
6226,FPQ-4587,SCMS-58380,ASN-5877,Kenya,Direct Drop,EXW,HIV test,100,8500,680000.0,80.0,0.8,Yes,14419.86,Air,1466.08,90
6227,FPQ-14470,SCMS-245230,ASN-27241,South Sudan,Direct Drop,EXW,HIV test,20,18,576.0,32.0,1.6,No,See ASN-27241 (ID#:23488),Air,0.59,105
6228,FPQ-11443,SCMS-180980,ASN-20515,Haiti,Direct Drop,EXW,Pediatric,60,3192,6703.2,2.1,0.04,Yes,2010.69,Air,8.29,188
6229,FPQ-12106,SCMS-186720,ASN-20032,"Congo, DRC",Direct Drop,EXW,HIV test,20,469,15008.0,32.0,1.6,Yes,3125.65,Air,18.56,235
6230,FPQ-4080,SCMS-51390,ASN-5103,Mozambique,Direct Drop,EXW,HIV test,100,3300,237600.0,72.0,0.72,Yes,29373.14,Air,465.7,119
6231,FPQ-13973,SCMS-238551,ASN-26882,South Africa,Direct Drop,DDP,Adult,60,13,324.4,24.95,0.42,No,Freight Included in Commodity Cost,Truck,0.33,56
6232,FPQ-6083,SCMS-92940,ASN-9058,Dominican Republic,Direct Drop,EXW,Adult,30,1000,13000.0,13.0,0.43,Yes,1001.12,Air,28.03,155
6233,FPQ-4098,SCMS-51770,ASN-5448,Vietnam,Direct Drop,EXW,Adult,60,13020,18879.0,1.45,0.02,Yes,1872.53,Air,37.0,113
6234,FPQ-4011,SCMS-50280,ASN-6840,Rwanda,Direct Drop,CIP,Adult,30,20700,226665.0,10.95,0.36,Yes,21340.35,Air,444.26,320
6235,FPQ-13395,SCMS-219220,ASN-25452,Mozambique,Direct Drop,EXW,Adult,60,33792,274053.12,8.11,0.14,Yes,16835.52,Air,281.73,147
6236,FPQ-7427,SCMS-105530,ASN-11955,Vietnam,Direct Drop,EXW,Adult,60,37075,177960.0,4.8,0.08,No,See ASN-11955 (ID#:61190),Air,293.63,179
6237,FPQ-14827,SCMS-256510,ASN-29093,Zambia,Direct Drop,EXW,HIV test,100,6322,505760.0,80.0,0.8,Yes,37444.1,Air,519.92,224
6238,FPQ-11427,SCMS-175500,ASN-19443,Tanzania,Direct Drop,FCA,Pediatric,300,237,7304.34,30.82,0.1,Yes,3269.9,Air,9.04,142
6239,FPQ-15324,SCMS-264780,ASN-30261,Mozambique,Direct Drop,EXW,HIV test,100,18,1298.7,72.15,0.72,No,See ASN-30261 (ID#:19627),Air,1.53,98
6240,FPQ-10107,SCMS-153800,ASN-16720,Zambia,Direct Drop,EXW,HIV test,100,4004,320320.0,80.0,0.8,Yes,34940.02,Air,449.09,122
6241,FPQ-5303,SCMS-69050,ASN-8509,South Africa,Direct Drop,DDP,Adult,60,75048,557606.64,7.43,0.12,Yes,3315.23,Air,1202.2,272
6242,FPQ-12623,SCMS-200921,ASN-22955,South Sudan,Direct Drop,EXW,HIV test,20,450,14400.0,32.0,1.6,No,See ASN-22955 (ID#:19019),Air,17.81,208
6243,FPQ-10880,SCMS-164000,ASN-18530,Mozambique,Direct Drop,EXW,HIV test,100,2863,229040.0,80.0,0.8,Yes,13146.21,Air,283.32,165
6244,FPQ-11443,SCMS-180970,ASN-20026,Haiti,Direct Drop,EXW,Adult,30,48150,505575.0,10.5,0.35,No,See ASN-20026 (ID#:64635),Ocean,625.4,207
6245,FPQ-15569,SCMS-272160,ASN-31338,South Sudan,Direct Drop,EXW,HIV test,100,200,17800.0,89.0,0.89,No,See ASN-31338 (ID#:38992),Air,20.95,158
6246,FPQ-12522,SCMS-199289,ASN-28034,South Africa,Direct Drop,DDP,Pediatric,60,3,19.32,6.44,0.11,No,Freight Included in Commodity Cost,Truck,0.02,414
6247,FPQ-8263,SCMS-119640,ASN-12455,Rwanda,Direct Drop,EXW,HIV test,100,2530,196581.0,77.7,0.78,Yes,26849.57,Air,324.36,77
6248,FPQ-10314,SCMS-153910,ASN-17659,Kenya,Direct Drop,CIP,HIV test,100,6152,547528.0,89.0,0.89,Yes,91.67,Air,767.63,231
6249,FPQ-12539,SCMS-199770,ASN-22687,Vietnam,Direct Drop,EXW,Adult,60,6493,11492.61,1.77,0.03,Yes,1457.92,Air,14.22,155
6250,FPQ-13973,SCMS-238554,ASN-28627,South Africa,Direct Drop,DDP,Adult,30,4,78.7,19.68,0.66,No,Freight Included in Commodity Cost,Truck,0.08,156
6251,FPQ-6818,SCMS-97850,ASN-11024,Vietnam,Direct Drop,EXW,Adult,60,336,5040.0,15.0,0.25,No,See ASN-11024 (ID#:15149),Air,8.32,156
6252,FPQ-3782,SCMS-47730,ASN-4489,Tanzania,Direct Drop,CIP,Adult,30,7000,128380.0,18.34,0.61,No,See ASN-4489 (ID#:43989),Air,251.62,61
6253,FPQ-15692,SCMS-274390,ASN-32265,Vietnam,Direct Drop,EXW,Adult,60,17600,31680.0,1.8,0.03,No,See ASN-32265 (ID#:56716),Air,37.29,163
6254,FPQ-4518,SCMS-56980,ASN-5819,Côte d'Ivoire,Direct Drop,EXW,HIV test,40,2400,264000.0,110.0,2.75,Yes,19145.8,Air,569.18,83
6255,FPQ-12518,SCMS-198221,ASN-23125,Rwanda,Direct Drop,EXW,HIV test,1,20481,501784.5,24.5,24.5,Yes,139951.34,Air,620.71,176
6256,FPQ-11442,SCMS-177180,ASN-18919,Haiti,Direct Drop,EXW,Adult,60,52080,356748.0,6.85,0.11,No,See ASN-18919 (ID#:14578),Ocean,441.3,189
6257,FPQ-11020,SCMS-167990,ASN-17893,"Congo, DRC",Direct Drop,EXW,HIV test,20,185,5920.0,32.0,1.6,Yes,1592.72,Air,7.32,209
6258,FPQ-6262,SCMS-83770,ASN-10253,South Africa,Direct Drop,DDP,Adult,30,96721,438146.13,4.53,0.15,Yes,Freight Included in Commodity Cost,Ocean,944.64,268
6259,FPQ-6119,SCMS-84000,ASN-9447,Sudan,Direct Drop,EXW,HIV test,100,130,11570.0,89.0,0.89,Yes,2084.49,Air,24.94,164
6260,FPQ-14942,SCMS-259079,ASN-33851,South Africa,Direct Drop,DDP,Pediatric,240,17,91.92,5.41,0.02,No,Freight Included in Commodity Cost,Truck,0.09,347
6261,FPQ-13797,SCMS-234000,ASN-26977,Haiti,Direct Drop,EXW,Adult,30,3260,9714.8,2.98,0.1,Yes,Invoiced Separately,Ocean,9.99,218
6262,FPQ-7565,SCMS-107640,ASN-11611,Vietnam,Direct Drop,EXW,Adult,60,42000,461580.0,10.99,0.18,Yes,19632.73,Air,761.61,125
6263,FPQ-13790,SCMS-231370,ASN-25280,Dominican Republic,Direct Drop,EXW,HIV test,20,500,16000.0,32.0,1.6,Yes,790.78,Air,16.45,57
6264,FPQ-4770,SCMS-60170,ASN-5933,South Africa,Direct Drop,DDP,Pediatric,240,60,927.34,15.46,0.06,No,Freight Included in Commodity Cost,Truck,2.0,12
6265,FPQ-10286,SCMS-156272,ASN-17807,Vietnam,Direct Drop,EXW,Pediatric,60,1966,4423.5,2.25,0.04,Yes,1143.04,Air,6.2,191
6266,FPQ-13973,SCMS-238554,ASN-28629,South Africa,Direct Drop,DDP,Adult,60,48,4062.91,84.64,1.41,No,Freight Included in Commodity Cost,Truck,4.18,156
6267,FPQ-12456,SCMS-196550,ASN-21949,Nigeria,Direct Drop,EXW,HIV test,20,6355,203360.0,32.0,1.6,Yes,15450.88,Air,251.56,144
6268,FPQ-12522,SCMS-199289,ASN-28036,South Africa,Direct Drop,DDP,Adult,60,7,189.78,27.11,0.45,No,Freight Included in Commodity Cost,Truck,0.23,414
6269,FPQ-4856,SCMS-62720,ASN-6401,Namibia,Direct Drop,EXW,HIV test,100,500,35000.0,70.0,0.7,Yes,1498.16,Air,75.46,103
6270,FPQ-12522,SCMS-199289,ASN-28036,South Africa,Direct Drop,DDP,Adult,120,122,3142.69,25.76,0.21,No,Freight Included in Commodity Cost,Truck,3.89,414
6271,FPQ-4276,SCMS-55240,ASN-5607,Uganda,Direct Drop,FCA,Adult,120,110,3977.6,36.16,0.3,Yes,995.22,Air,7.8,88
6272,FPQ-16227,SCMS-291890,ASN-33362,Zambia,Direct Drop,EXW,HIV test,100,530,42400.0,80.0,0.8,Yes,Invoiced Separately,Air,49.9,111
6273,FPQ-13035,SCMS-215370,ASN-24415,South Africa,Direct Drop,DDP,Adult,60,1281,14728.5,11.5,0.19,No,Freight Included in Commodity Cost,Truck,18.22,121
6274,FPQ-3934,SCMS-48800,ASN-4828,Vietnam,Direct Drop,FCA,Adult,120,760,62472.0,82.2,0.68,Yes,1088.79,Air,122.45,67
6275,FPQ-8117,SCMS-118190,ASN-12877,Nigeria,Direct Drop,EXW,HIV test,100,2890,257210.0,89.0,0.89,Yes,32575.03,Air,424.4,144
6276,FPQ-4337,SCMS-56140,ASN-5572,Haiti,Direct Drop,FCA,Pediatric,60,45,406.8,9.04,0.15,Yes,928.11,Air,0.8,69
6277,FPQ-7996,SCMS-115340,ASN-11741,Liberia,Direct Drop,EXW,HIV test,20,50,1600.0,32.0,1.6,Yes,515.11,Air,2.64,52
6278,FPQ-13973,SCMS-238554,ASN-28627,South Africa,Direct Drop,DDP,Adult,30,8,241.69,30.21,1.01,No,Freight Included in Commodity Cost,Truck,0.25,156
6279,FPQ-9211,SCMS-135870,ASN-13850,Tanzania,Direct Drop,EXW,HIV test,100,2072,165760.0,80.0,0.8,Yes,17512.52,Air,232.4,42
6280,FPQ-6708,SCMS-93540,ASN-10568,South Africa,Direct Drop,DDP,Adult,30,77473,515195.45,6.65,0.22,Yes,8809.08,Ocean,850.07,199
6281,FPQ-5630,SCMS-72760,ASN-7111,South Africa,Direct Drop,DDP,Pediatric,200,100,698.98,6.99,0.03,No,Freight Included in Commodity Cost,Truck,1.51,12
6282,FPQ-16210,SCMS-289310,ASN-32567,Cameroon,Direct Drop,EXW,Pediatric,30,4416,5520.0,1.25,0.04,Yes,Invoiced Separately,Air,6.5,50
6283,FPQ-8929,SCMS-131870,ASN-14307,Côte d'Ivoire,Direct Drop,EXW,HIV test,20,1593,46197.0,29.0,1.45,Yes,6311.89,Air,64.77,124
6284,FPQ-13555,SCMS-234300,ASN-27384,"Congo, DRC",Direct Drop,EXW,Adult,60,10000,81000.0,8.1,0.13,Yes,12498.65,Air,83.27,209
6285,FPQ-6262,SCMS-83830,ASN-9194,South Africa,Direct Drop,DDP,Adult,30,58143,386650.95,6.65,0.22,Yes,7905.96,Ocean,833.62,149
6286,FPQ-7281,SCMS-109440,ASN-11323,Swaziland,Direct Drop,EXW,HIV test,20,1270,40640.0,32.0,1.6,Yes,4726.15,Air,67.06,134
6287,FPQ-14942,SCMS-259073,ASN-30671,South Africa,Direct Drop,DDP,Adult,60,50,2492.63,49.85,0.83,No,Freight Included in Commodity Cost,Truck,2.56,154
6288,FPQ-13973,SCMS-238556,ASN-31854,South Africa,Direct Drop,DDP,Adult,60,7,218.34,31.19,0.52,No,Freight Included in Commodity Cost,Truck,0.22,363
6289,FPQ-13973,SCMS-238552,ASN-27608,South Africa,Direct Drop,DDP,Adult,60,6,479.95,79.99,1.33,No,Freight Included in Commodity Cost,Truck,0.49,97
6290,FPQ-13494,SCMS-225413,ASN-28731,Haiti,Direct Drop,EXW,HIV test,100,4000,400000.0,100.0,1.0,Yes,14758.34,Air,411.2,302
6291,FPQ-15569,SCMS-272170,ASN-32109,South Sudan,Direct Drop,EXW,HIV test,100,90,8010.0,89.0,0.89,No,See ASN-32109 (ID#:25915),Air,9.43,190
6292,FPQ-11828,SCMS-183970,ASN-19157,South Africa,Direct Drop,DDP,Pediatric,300,2,49.99,25.0,0.08,No,Freight Included in Commodity Cost,Truck,0.06,25
6293,FPQ-7175,SCMS-103460,ASN-11047,South Africa,Direct Drop,DDP,Adult,60,33207,242411.1,7.3,0.12,Yes,3787.71,Ocean,399.98,176
6294,FPQ-15251,SCMS-263380,ASN-30907,Côte d'Ivoire,Direct Drop,EXW,HIV test,20,1230,38130.0,31.0,1.55,Yes,5640.23,Air,44.88,170
6295,FPQ-12050,SCMS-186900,ASN-19907,Tanzania,Direct Drop,FCA,Pediatric,300,435,13406.7,30.82,0.1,Yes,4267.13,Air,16.58,111
6296,FPQ-3596,SCMS-50360,ASN-5454,South Africa,Direct Drop,DDP,Adult,30,1000,16453.48,16.45,0.55,No,Freight Included in Commodity Cost,Truck,32.25,173
6297,FPQ-5094,SCMS-68600,ASN-7405,Vietnam,Direct Drop,EXW,Adult,30,31579,135789.7,4.3,0.14,Yes,11617.57,Air,292.76,129
6298,FPQ-11153,SCMS-171920,ASN-18279,Uganda,Direct Drop,EXW,Pediatric,30,196,439.04,2.24,0.07,Yes,917.35,Air,0.54,82
6299,FPQ-9098,SCMS-133550,ASN-14780,Ethiopia,Direct Drop,EXW,HIV test,20,340,9860.0,29.0,1.45,Yes,Invoiced Separately,Air,13.82,119
6300,FPQ-5303,SCMS-68990,ASN-7050,South Africa,Direct Drop,DDP,Pediatric,240,10000,31500.0,3.15,0.01,Yes,4088.43,Air,67.91,83
6301,FPQ-3859,SCMS-48931,ASN-6763,Rwanda,Direct Drop,CIP,Adult,120,4240,158406.4,37.36,0.31,Yes,14256.58,Air,310.48,303
6302,FPQ-8261,SCMS-120443,ASN-12835,Sudan,Direct Drop,EXW,HIV test,100,22,1958.0,89.0,0.89,Yes,978.41,Air,3.23,130
6303,FPQ-7898,SCMS-113620,ASN-13101,Vietnam,Direct Drop,EXW,Adult,60,20970,222282.0,10.6,0.18,Yes,2673.82,Air,366.77,178
6304,FPQ-4047,SCMS-50810,ASN-5740,Rwanda,Direct Drop,CIP,Adult,60,10350,26806.5,2.59,0.04,Yes,2990.64,Air,52.54,160
6305,FPQ-14151,SCMS-239790,ASN-26472,Zambia,Direct Drop,EXW,Adult,60,34165,76871.25,2.25,0.04,Yes,19461.76,Air,79.02,93
6306,FPQ-11512,SCMS-176890,ASN-18723,Burundi,Direct Drop,EXW,HIV test,30,514,14186.4,27.6,0.92,Yes,758.65,Air,17.55,64
6307,FPQ-13524,SCMS-226220,ASN-26923,Vietnam,Direct Drop,EXW,Adult,30,7248,76104.0,10.5,0.35,No,See ASN-26923 (ID#:13027),Air,78.23,181
6308,FPQ-12522,SCMS-199289,ASN-28034,South Africa,Direct Drop,DDP,Pediatric,90,57,1483.72,26.03,0.29,No,Freight Included in Commodity Cost,Truck,1.84,414
6309,FPQ-12477,SCMS-198721,ASN-22001,Uganda,Direct Drop,EXW,Adult,60,9888,64173.12,6.49,0.11,Yes,10833.06,Ocean,79.38,165
6310,FPQ-7400,SCMS-104230,ASN-11476,South Africa,Direct Drop,DDP,Pediatric,240,20000,185600.0,9.28,0.04,Yes,7175.68,Ocean,306.24,196
6311,FPQ-15569,SCMS-272140,ASN-31129,South Sudan,Direct Drop,EXW,HIV test,20,50,1600.0,32.0,1.6,No,See ASN-31129 (ID#:40205),Air,1.88,133
6312,FPQ-4266,SCMS-56530,ASN-7262,Vietnam,Direct Drop,EXW,Adult,60,14952,128736.72,8.61,0.14,No,See ASN-7262 (ID#:25201),Air,252.32,259
6313,FPQ-14083,SCMS-240190,ASN-26906,Haiti,Direct Drop,EXW,Pediatric,240,1650,2359.5,1.43,0.01,No,See ASN-26906 (ID#:33218),Ocean,2.43,166
6314,FPQ-15569,SCMS-272160,ASN-31331,South Sudan,Direct Drop,EXW,HIV test - Ancillary,100,50,400.0,8.0,0.08,No,See ASN-31331 (ID#:51668),Air,0.47,158
6315,FPQ-12456,SCMS-196561,ASN-22172,Nigeria,Direct Drop,EXW,HIV test,100,3036,270204.0,89.0,0.89,Yes,20602.3,Air,334.24,160
6316,FPQ-10654,SCMS-161720,ASN-17261,Cameroon,Direct Drop,EXW,Adult,30,26204,314185.96,11.99,0.4,Yes,27939.91,Air,440.49,90
6317,FPQ-12093,SCMS-189060,ASN-20772,"Congo, DRC",Direct Drop,FCA,Pediatric,300,10,308.2,30.82,0.1,Yes,1573.41,Air,0.38,217
6318,FPQ-4054,SCMS-51250,ASN-5056,South Africa,Direct Drop,DDP,Adult,30,560,10506.86,18.76,0.63,No,Freight Included in Commodity Cost,Truck,20.59,26
6319,FPQ-4098,SCMS-51750,ASN-5059,Vietnam,Direct Drop,EXW,Adult,60,23040,146995.2,6.38,0.11,Yes,4620.03,Air,288.11,76
6320,FPQ-14942,SCMS-259075,ASN-32138,South Africa,Direct Drop,DDP,Adult,30,3,33.81,11.27,0.38,No,Freight Included in Commodity Cost,Truck,0.03,243
6321,FPQ-14101,SCMS-245400,ASN-29127,Ghana,Direct Drop,EXW,Pediatric,240,11730,16773.9,1.43,0.01,Yes,22212.75,Air,17.24,247
6322,FPQ-13803,SCMS-231060,ASN-25337,Tanzania,Direct Drop,EXW,Adult,30,5000,28700.0,5.74,0.19,Yes,2865.22,Air,29.5,116
6323,FPQ-6925,SCMS-97140,ASN-10066,Tanzania,Direct Drop,EXW,HIV test,100,30,2400.0,80.0,0.8,Yes,1489.33,Air,3.96,108
6324,FPQ-12806,SCMS-206590,ASN-24449,Côte d'Ivoire,Direct Drop,EXW,Adult,30,2100,42000.0,20.0,0.67,Yes,3169.34,Air,51.95,229
6325,FPQ-9270,SCMS-136330,ASN-13764,Rwanda,Direct Drop,EXW,HIV test,20,1460,46720.0,32.0,1.6,Yes,5405.42,Air,65.5,29
6326,FPQ-9905,SCMS-148290,ASN-16913,Zimbabwe,Direct Drop,FCA,Pediatric,300,1364,42038.48,30.82,0.1,Yes,15578.89,Air,58.94,177
6327,FPQ-14411,SCMS-244550,ASN-26903,South Sudan,Direct Drop,EXW,Pediatric,30,2538,3172.5,1.25,0.04,Yes,1960.89,Air,3.26,116
6328,FPQ-5277,SCMS-68320,ASN-6788,Uganda,Direct Drop,FCA,Adult,120,160,5785.6,36.16,0.3,Yes,1238.94,Air,12.47,61
6329,FPQ-9365,SCMS-142230,ASN-14835,Uganda,Direct Drop,CIP,Adult,60,168,9324.0,55.5,0.92,Yes,886,Air,13.07,67
6330,FPQ-5535,SCMS-71370,ASN-7373,South Africa,Direct Drop,DDP,Adult,120,300,12447.35,41.49,0.35,No,Freight Included in Commodity Cost,Truck,26.84,42
6331,FPQ-4167,SCMS-54180,ASN-7168,Botswana,Direct Drop,EXW,HIV test - Ancillary,3,10,250.0,25.0,8.33,Yes,418.94,Air,0.49,294
6332,FPQ-10765,SCMS-162440,ASN-18172,Nigeria,Direct Drop,EXW,HIV test,100,2744,244216.0,89.0,0.89,Yes,88176.17,Air,342.39,139
6333,FPQ-13035,SCMS-215370,ASN-24415,South Africa,Direct Drop,DDP,Adult,60,259,7677.85,29.64,0.49,No,Freight Included in Commodity Cost,Truck,9.5,121
6334,FPQ-12522,SCMS-199289,ASN-28034,South Africa,Direct Drop,DDP,Adult,30,472,9824.7,20.82,0.69,No,Freight Included in Commodity Cost,Truck,12.15,414
6335,FPQ-13214,SCMS-215410,ASN-23875,South Africa,Direct Drop,DDP,Pediatric,30,28,78.79,2.81,0.09,No,Freight Included in Commodity Cost,Truck,0.08,60
6336,FPQ-11828,SCMS-183950,ASN-19166,South Africa,Direct Drop,DDP,Adult,60,13,328.17,25.24,0.42,No,Freight Included in Commodity Cost,Truck,0.41,29
